Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
EN3,Studio,10,826,750,826,876
EN3,One Bedroom,10,994,900,"1,000","1,095"
EN3,Two Bedrooms,20,"1,299","1,250","1,300","1,340"
EN3,Three Bedrooms,10,"1,414","1,300","1,423","1,500"
EN3,Four or More Bedrooms,10,"1,728","1,600","1,750","1,800"
EN4,Room,-,..,..,..,..
EN4,Studio,10,859,780,850,900
EN4,One Bedroom,40,"1,014",933,"1,000","1,100"
EN4,Two Bedrooms,80,"1,249","1,148","1,250","1,350"
EN4,Three Bedrooms,40,"1,990","1,600","1,700","2,200"
EN4,Four or More Bedrooms,20,"3,318","2,000","2,325","2,875"
EN5,Room,-,..,..,..,..
EN5,Studio,10,802,750,775,850
EN5,One Bedroom,60,"1,051",932,"1,080","1,150"
EN5,Two Bedrooms,90,"1,298","1,200","1,275","1,400"
EN5,Three Bedrooms,40,"1,730","1,500","1,699","1,800"
EN5,Four or More Bedrooms,20,"2,695","2,200","2,496","2,947"
EN6,Room,0,.,.,.,.
EN6,Studio,0,.,.,.,.
EN6,One Bedroom,0,.,.,.,.
EN6,Two Bedrooms,0,.,.,.,.
EN6,Three Bedrooms,0,.,.,.,.
EN6,Four or More Bedrooms,0,.,.,.,.
EN7,Room,0,.,.,.,.
EN7,Studio,0,.,.,.,.
EN7,One Bedroom,0,.,.,.,.
EN7,Two Bedrooms,0,.,.,.,.
EN7,Three Bedrooms,0,.,.,.,.
EN7,Four or More Bedrooms,0,.,.,.,.
EN8,Room,0,.,.,.,.
EN8,Studio,0,.,.,.,.
EN8,One Bedroom,0,.,.,.,.
EN8,Two Bedrooms,0,.,.,.,.
EN8,Three Bedrooms,0,.,.,.,.
EN8,Four or More Bedrooms,0,.,.,.,.
EN9,Room,0,.,.,.,.
EN9,Studio,0,.,.,.,.
EN9,One Bedroom,0,.,.,.,.
